Date,region,match_id,P1,P2,Char1,Char2,Winner,Loser,winChar,loseChar,win_dummy,winner_id,loser_id,winner_rank,loser_rank,win_value,loss_value
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Ken,Remy,Quentin,Gamble,Ken,Remy,1,1113,427,8,1,0.625,8.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Ken,Remy,Quentin,Gamble,Ken,Remy,1,1113,427,8,1,0.625,8.5
2016-05-16,Chicago,"11, 2",Quentin,Brian,Ken,Oro,Quentin,Brian,Ken,Oro,1,1113,225,8,1,0.625,8.5
2016-05-16,Chicago,"11, 2",Quentin,Brian,Ken,Oro,Quentin,Brian,Ken,Oro,1,1113,225,8,1,0.625,8.5
2016-05-16,Chicago,"11, 2",Quentin,Brian,Ken,Oro,Quentin,Brian,Ken,Oro,1,1113,225,8,1,0.625,8.5
2016-05-16,Chicago,"11, 2",Quentin,Brian,Ken,Yang,Quentin,Brian,Ken,Yang,1,1113,216,8,1,0.625,8.5
2016-05-16,Chicago,"11, 2",Quentin,Brian,Ken,Oro,Quentin,Brian,Ken,Oro,1,1113,225,8,1,0.625,8.5
2016-05-16,Chicago,"11, 2",Quentin,Brian,Ken,Oro,Quentin,Brian,Ken,Oro,1,1113,225,8,1,0.625,8.5
2016-05-16,Chicago,"8, 11",Kerry,Quentin,Ken,Ken,Quentin,Kerry,Ken,Ken,1,1113,813,8,1,0.625,8.5
2016-05-16,Chicago,"8, 11",Kerry,Quentin,Ken,Ken,Quentin,Kerry,Ken,Ken,1,1113,813,8,1,0.625,8.5
2016-05-16,Chicago,"8, 11",Kerry,Quentin,Ken,Ken,Quentin,Kerry,Ken,Ken,1,1113,813,8,1,0.625,8.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Chun,Ken,Quentin,Gamble,Chun,Ken,1,1111,413,5,1,0.7,5.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Chun,Remy,Quentin,Gamble,Chun,Remy,1,1111,427,5,1,0.7,5.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Chun,Remy,Quentin,Gamble,Chun,Remy,1,1111,427,5,1,0.7,5.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Chun,Remy,Quentin,Gamble,Chun,Remy,1,1111,427,5,1,0.7,5.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Makoto,Remy,Quentin,Gamble,Makoto,Remy,1,1114,427,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Makoto,Remy,Quentin,Gamble,Makoto,Remy,1,1114,427,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Makoto,Chun,Gamble,Quentin,Chun,Makoto,1,411,1114,1,9,9.5,0.6111111111111112
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Makoto,Chun,Quentin,Gamble,Makoto,Chun,1,1114,411,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"2, 8",Brian,Kerry,Oro,Alex,Kerry,Brian,Alex,Oro,1,824,225,1,1,1.5,1.5
2016-05-16,Chicago,"2, 8",Brian,Kerry,Oro,Ken,Kerry,Brian,Ken,Oro,1,813,225,1,1,1.5,1.5
2016-05-16,Chicago,"12, 8",Tony,Kerry,Hugo,Ken,Kerry,Tony,Ken,Hugo,1,813,1223,1,1,1.5,1.5
2016-05-16,Chicago,"12, 8",Tony,Kerry,Hugo,Ken,Kerry,Tony,Ken,Hugo,1,813,1223,1,1,1.5,1.5
2016-05-16,Chicago,"11, 8",Quentin,Kerry,Makoto,Ken,Quentin,Kerry,Makoto,Ken,1,1114,813,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 8",Quentin,Kerry,Makoto,Ken,Quentin,Kerry,Makoto,Ken,1,1114,813,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 8",Quentin,Kerry,Makoto,Ken,Kerry,Quentin,Ken,Makoto,1,813,1114,1,9,9.5,0.6111111111111112
2016-05-16,Chicago,"11, 7",Quentin,Jose,Dudley,Ken,Quentin,Jose,Dudley,Ken,1,1115,713,5,1,0.7,5.5
2016-05-16,Chicago,"11, 7",Quentin,Jose,Dudley,Elena,Quentin,Jose,Dudley,Elena,1,1115,720,5,1,0.7,5.5
2016-05-16,Chicago,"11, 7",Quentin,Jose,Dudley,Elena,Jose,Quentin,Elena,Dudley,1,720,1115,1,5,5.5,0.7
2016-05-16,Chicago,"11, 7",Quentin,Jose,Makoto,Elena,Quentin,Jose,Makoto,Elena,1,1114,720,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 12",Quentin,Tony,Makoto,Hugo,Quentin,Tony,Makoto,Hugo,1,1114,1223,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 12",Quentin,Tony,Makoto,Hugo,Quentin,Tony,Makoto,Hugo,1,1114,1223,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 10",Quentin,Miguel,Makoto,Chun,Miguel,Quentin,Chun,Makoto,1,1011,1114,1,9,9.5,0.6111111111111112
2016-05-16,Chicago,"11, 10",Quentin,Miguel,Makoto,Chun,Quentin,Miguel,Makoto,Chun,1,1114,1011,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 10",Quentin,Miguel,Makoto,Chun,Quentin,Miguel,Makoto,Chun,1,1114,1011,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Makoto,Remy,Quentin,Gamble,Makoto,Remy,1,1114,427,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"11, 4",Quentin,Gamble,Makoto,Remy,Quentin,Gamble,Makoto,Remy,1,1114,427,9,1,0.6111111111111112,9.5
2016-05-16,Chicago,"7, 12",Jose,Tony,Makoto,Hugo,Tony,Jose,Hugo,Makoto,1,1223,714,1,1,1.5,1.5
2016-05-16,Chicago,"7, 12",Jose,Tony,Elena,Hugo,Jose,Tony,Elena,Hugo,1,720,1223,1,1,1.5,1.5
2016-05-16,Chicago,"7, 12",Jose,Tony,Elena,Hugo,Jose,Tony,Elena,Hugo,1,720,1223,1,1,1.5,1.5
2016-05-16,Chicago,"7, 10",Jose,Miguel,Elena,Chun,Jose,Miguel,Elena,Chun,1,720,1011,1,1,1.5,1.5
2016-05-16,Chicago,"7, 10",Jose,Miguel,Elena,Chun,Jose,Miguel,Elena,Chun,1,720,1011,1,1,1.5,1.5
2016-05-16,Chicago,"7, 10",Jose,Miguel,Elena,Chun,Jose,Miguel,Elena,Chun,1,720,1011,1,1,1.5,1.5
2016-05-16,Chicago,"7, 4",Jose,Gamble,Elena,Remy,Jose,Gamble,Elena,Remy,1,720,427,1,1,1.5,1.5
2016-05-16,Chicago,"7, 4",Jose,Gamble,Elena,Remy,Jose,Gamble,Elena,Remy,1,720,427,1,1,1.5,1.5
2016-05-16,Chicago,"7, 12",Jose,Tony,Elena,Hugo,Jose,Tony,Elena,Hugo,1,720,1223,1,1,1.5,1.5
2016-05-16,Chicago,"7, 12",Jose,Tony,Elena,Hugo,Jose,Tony,Elena,Hugo,1,720,1223,1,1,1.5,1.5
2016-05-16,Chicago,"7, 4",Jose,Gamble,Elena,Remy,Jose,Gamble,Elena,Remy,1,720,427,1,1,1.5,1.5
2016-05-16,Chicago,"7, 4",Jose,Gamble,Elena,Remy,Jose,Gamble,Elena,Remy,1,720,427,1,1,1.5,1.5
2016-05-16,Chicago,"7, 4",Jose,Gamble,Elena,Remy,Jose,Gamble,Elena,Remy,1,720,427,1,1,1.5,1.5
2016-05-16,Chicago,"7, 3",Jose,Chase,Elena,Ryu,Jose,Chase,Elena,Ryu,1,720,319,1,1,1.5,1.5
2016-05-16,Chicago,"7, 3",Jose,Chase,Elena,Alex,Jose,Chase,Elena,Alex,1,720,324,1,1,1.5,1.5
2016-05-16,Chicago,"7, 3",Jose,Chase,Elena,Necro,Jose,Chase,Elena,Necro,1,720,322,1,1,1.5,1.5
2016-05-16,Chicago,"7, 3",Jose,Chase,Elena,Sean,Jose,Chase,Elena,Sean,1,720,329,1,1,1.5,1.5
2016-05-16,Chicago,"4, 7",Gamble,Jose,Elena,Ken,Jose,Gamble,Ken,Elena,1,713,420,1,1,1.5,1.5
2016-05-16,Chicago,"4, 7",Gamble,Jose,Remy,Ken,Jose,Gamble,Ken,Remy,1,713,427,1,1,1.5,1.5
